year,academic_type,source_type,source_of_fund,students,Forecasted_Students
2007,Undergraduate,International,Personal and Family,200773,
2007,Undergraduate,International,Foreign Government or University,8274,
2007,Undergraduate,International,Foreign Private Sponsor,2920,
2007,Undergraduate,International,International Organization,243,
2007,Undergraduate,U.S.,Current Employment,243,
2007,Undergraduate,U.S.,U.S. College or University,25066,
2007,Undergraduate,U.S.,U.S. Government,973,
2007,Undergraduate,U.S.,U.S. Private Sponsor,3164,
2007,Undergraduate,Other,Other Sources,1704,
2007,Graduate,International,Personal and Family,127901,
2007,Graduate,International,Foreign Government or University,8305,
2007,Graduate,International,Foreign Private Sponsor,2768,
2007,Graduate,International,International Organization,831,
2007,Graduate,U.S.,Current Employment,2215,
2007,Graduate,U.S.,U.S. College or University,127901,
2007,Graduate,U.S.,U.S. Government,1938,
2007,Graduate,U.S.,U.S. Private Sponsor,1938,
2007,Graduate,Other,Other Sources,3045,
2007,Non-Degree,International,Personal and Family,36158,
2007,Non-Degree,International,Foreign Government or University,4262,
2007,Non-Degree,International,Foreign Private Sponsor,562,
2007,Non-Degree,International,International Organization,187,
2007,Non-Degree,U.S.,Current Employment,656,
2007,Non-Degree,U.S.,U.S. College or University,3419,
2007,Non-Degree,U.S.,U.S. Government,375,
2007,Non-Degree,U.S.,U.S. Private Sponsor,422,
2007,Non-Degree,Other,Other Sources,796,
2007,OPT,International,Personal and Family,24240,
2007,OPT,International,Foreign Government or University,284,
2007,OPT,International,Foreign Private Sponsor,170,
2007,OPT,International,International Organization,0,
2007,OPT,U.S.,Current Employment,26339,
2007,OPT,U.S.,U.S. College or University,4995,
2007,OPT,U.S.,U.S. Government,57,
2007,OPT,U.S.,U.S. Private Sponsor,227,
2007,OPT,Other,Other Sources,454,
2008,Undergraduate,International,Personal and Family,221026,
2008,Undergraduate,International,Foreign Government or University,10525,
2008,Undergraduate,International,Foreign Private Sponsor,5667,
2008,Undergraduate,International,International Organization,270,
2008,Undergraduate,U.S.,Current Employment,540,
2008,Undergraduate,U.S.,U.S. College or University,24559,
2008,Undergraduate,U.S.,U.S. Government,810,
2008,Undergraduate,U.S.,U.S. Private Sponsor,3778,
2008,Undergraduate,Other,Other Sources,2699,
2008,Graduate,International,Personal and Family,138265,
2008,Graduate,International,Foreign Government or University,8783,
2008,Graduate,International,Foreign Private Sponsor,2833,
2008,Graduate,International,International Organization,850,
2008,Graduate,U.S.,Current Employment,2833,
2008,Graduate,U.S.,U.S. College or University,122681,
2008,Graduate,U.S.,U.S. Government,2267,
2008,Graduate,U.S.,U.S. Private Sponsor,2550,
2008,Graduate,Other,Other Sources,2267,
2008,Non-Degree,International,Personal and Family,39740,
2008,Non-Degree,International,Foreign Government or University,4249,
2008,Non-Degree,International,Foreign Private Sponsor,466,
2008,Non-Degree,International,International Organization,207,
2008,Non-Degree,U.S.,Current Employment,570,
2008,Non-Degree,U.S.,U.S. College or University,4870,
2008,Non-Degree,U.S.,U.S. Government,933,
2008,Non-Degree,U.S.,U.S. Private Sponsor,570,
2008,Non-Degree,Other,Other Sources,207,
2008,OPT,International,Personal and Family,28039,
2008,OPT,International,Foreign Government or University,466,
2008,OPT,International,Foreign Private Sponsor,333,
2008,OPT,International,International Organization,67,
2008,OPT,U.S.,Current Employment,31569,
2008,OPT,U.S.,U.S. College or University,5261,
2008,OPT,U.S.,U.S. Government,67,
2008,OPT,U.S.,U.S. Private Sponsor,266,
2008,OPT,Other,Other Sources,533,
2009,Undergraduate,International,Personal and Family,217076,
2009,Undergraduate,International,Foreign Government or University,13996,
2009,Undergraduate,International,Foreign Private Sponsor,4116,
