year,female,female_forecast,male,male_forecast,single,single_forecast,married,married_forecast,full_time,full_time_forecast,part_time,part_time_forecast,visa_f,visa_f_forecast,visa_j,visa_j_forecast,visa_other,visa_other_forecast
2007,278841,,344964,,543958,,79847,,575772,,48033,,552691,,31814,,39300,
2008,304242,,367374,,591694,,79922,,613185,,58431,,589007,,39625,,42984,
2009,309534,,381389,,615612,,75311,,637722,,53201,,612158,,38692,,40073,
2010,322582,,400695,,653842,,69435,,669031,,54246,,645163,,40504,,37610,
2011,338671,,425824,,690339,,74156,,714038,,50457,,688810,,42047,,33638,
2012,363922,,455722,,744237,,75407,,769646,,49998,,747515,,42621,,29508,
2013,390749,,495303,,806307,,79745,,829345,,56707,,804535,,49619,,31898,
2014,426043,,548883,,886208,,88718,,912531,,62395,,881333,,58496,,35097,
2015,451982,,591857,,950937,,92902,,971814,,72025,,957200,,52192,,34447,
2016,470366,,608456,,970940,,107882,,1007620,,71202,,994674,,45311,,38837,
2017,477329,,617463,,999545,,95247,,1028010,,66782,,1015967,,44886,,33939,
2018,480836,,614463,,1002199,,93100,,1030676,,64623,,1018628,,44907,,31764,
2019,477520,,597976,,987305,,88191,,1016344,,59152,,1000211,,44095,,31190,
2020,407686,,506409,,827256,,86839,,843710,,70385,,860163,,16454,,37478,
2021,428731,,519788,,861255,,87264,,884020,,64499,,884020,,27507,,36992,
2022,473620,,583568,,966270,,90918,,986356,,70832,,989528,,34887,,32773,
2023,,479572,,588998,,977006,,90293,,997041,,72882,,1002359,,34327,,32460
2024,,485058,,593881,,986737,,90886,,1006773,,71182,,1014160,,33797,,32561
2025,,490114,,598270,,995557,,90323,,1015637,,72592,,1025014,,33295,,32529
2026,,494775,,602216,,1003552,,90858,,1023711,,71423,,1034996,,32820,,32539
2027,,499070,,605763,,1010798,,90350,,1031064,,72392,,1044178,,32371,,32536
2028,,503029,,608953,,1017365,,90832,,1037762,,71589,,1052623,,31945,,32537
2029,,506678,,611820,,1023318,,90374,,1043862,,72255,,1060390,,31542,,32536
2030,,510041,,614398,,1028714,,90809,,1049418,,71702,,1067534,,31160,,32536
2031,,513141,,616716,,1033604,,90396,,1054479,,72161,,1074105,,30799,,32536
2032,,515998,,618800,,1038037,,90788,,1059088,,71781,,1080148,,30457,,32536
