year,field_of_study,major,students
2007/08,Agriculture,Agriculture,6721
2007/08,Agriculture,Natural Resources and Conservation,2224
2007/08,Business and Management,Business and Management,110041
2007/08,Communications and Journalism,"Communication, Journalism",9222
2007/08,Communications and Journalism,Communications Technologies/Technicians,2913
2007/08,Education,Education,17775
2007/08,Engineering,Construction Trades,493
2007/08,Engineering,Engineering,89821
2007/08,Engineering,Engineering Technologies/Technicians,4586
2007/08,Engineering,Mechanic and Repair Technologies/Technicians,470
2007/08,Engineering,Military Technologies,56
2007/08,Engineering,Precision Production,39
2007/08,Engineering,Transportation and Materials Moving,724
2007/08,Fine and Applied Arts,Architecture,5940
2007/08,Fine and Applied Arts,Visual and Performing Arts,25787
2007/08,Health Professions,Health Professions,29163
2007/08,Health Professions,Residency Programs,422
2007/08,Humanities,English Language and Literature/Letters,4938
2007/08,Humanities,"Foreign Languages, Literatures and Linguistics",6252
2007/08,Humanities,Philosophy and Religious Studies,1996
2007/08,Humanities,Theology and Religious Vocations,4274
2007/08,Intensive English,Intensive English,25856
2007/08,Legal Studies and Law Enforcement,"Homeland Security, Law Enforcement, and Firefighting",865
2007/08,Legal Studies and Law Enforcement,Legal Professions and Studies,6598
2007/08,Math and Computer Science,Computer and Information Sciences,34819
2007/08,Math and Computer Science,Mathematics and Statistics,11494
2007/08,Other Fields of Study,Basic Skills,
2007/08,Other Fields of Study,Family and Consumer Sciences/Human Sciences,3276
2007/08,Other Fields of Study,Liberal Arts and Sciences/General Studies,29248
2007/08,Other Fields of Study,Library Science,809
2007/08,Other Fields of Study,Multi/Interdisciplinary Studies,8760
2007/08,Other Fields of Study,"Parks, Recreation, Leisure and Fitness Studies",2975
2007/08,Other Fields of Study,Personal and Culinary Services,865
2007/08,Other Fields of Study,Reserve Officer Training Corps,
2007/08,Physical and Life Sciences,Biological and Biomedical Sciences,29159
2007/08,Physical and Life Sciences,Physical Sciences,22942
2007/08,Physical and Life Sciences,Science Technologies/Technicians,766
2007/08,Social Sciences,"Area, Ethnic, Cultural and Gender Studies",2204
2007/08,Social Sciences,History,2112
